;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda män 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
ABDOW;7;-;;
ABDRAHMAN;17;21,1;;
ABDRIRAHMAN;2;-;;
ABDSALAM;2;-;;
ABDU;180;37,4;;
ABDU RAHMAN;2;-;;
ABDUALLAH;10;18,1;;
ABDUALRAHMAN;5;-;;
ABDUALRHMAN;2;-;;
ABDUAZIZ;5;-;;
ABDUFATAH;2;-;;
ABDUGANI;4;-;;
ABDUHAKIM;2;-;;
ABDUJABBAR;2;-;;
ABDUJAMOL;2;-;;
ABDUKADER;3;-;;
ABDUKADIR;38;32,9;;
ABDUKARIM;5;-;;
ABDUKHADER;3;-;;
ABDUKHADIR;2;-;;
ABDUL;2 747;36,9;;
ABDUL AHAD;6;-;;
ABDUL ALI;3;-;;
ABDUL AZIZ;13;23,5;;
ABDUL BASIT;3;-;;
ABDUL GHANI;2;-;;
ABDUL HADI;13;17,7;;
ABDUL HAKIM;2;-;;
ABDUL HALIM;3;-;;
ABDUL HAMID;3;-;;
ABDUL JABBAR;2;-;;
ABDUL JALIL;3;-;;
ABDUL KADIR;4;-;;
ABDUL KARIM;5;-;;
ABDUL LATIF;3;-;;
ABDUL MAJID;5;-;;
ABDUL MALIK;4;-;;
ABDUL QADIR;2;-;;
ABDUL RAHMAN;25;19,7;;
ABDUL RASHID;2;-;;
ABDUL RAUF;3;-;;
ABDUL RAZAK;2;-;;
ABDUL REDA;2;-;;
ABDUL REHMAN;3;-;;
ABDUL SALAM;7;-;;
ABDUL WAHAB;2;-;;
ABDUL WALI;2;-;;
ABDULA;41;44,2;;
ABDULAAH;2;-;;
ABDULAAHI;30;31,7;;
ABDULADHEEM;2;-;;
ABDULADIF;2;-;;
ABDULAH;98;43;;
ABDULAHAD;108;55,1;;
ABDUL-AHAD;6;-;;
ABDULAHAT;4;-;;
ABDULAHD;2;-;;
ABDULAHI;386;28,5;;
ABDULAHMAD;2;-;;
ABDULAI;11;35,9;;
ABDULAKH;2;-;;
ABDULALEM;3;-;;
ABDULALI;9;-;;
ABDULALIM;11;36,4;;
ABDULALLAH;2;-;;
ABDULAMEER;8;-;;
ABDULAMEIR;2;-;;
ABDULAMIR;20;62,3;;
ABDULASIS;7;-;;
ABDULATEEF;7;-;;
ABDULATEF;3;-;;
ABDULATHIM;2;-;;
ABDULATI;2;-;;
ABDULATIF;32;30,4;;
ABDULAZEEM;2;-;;
ABDULAZEEZ;26;31,2;;
ABDULAZEZ;4;-;;
ABDULAZIM;10;45,6;;
ABDULAZIS;2;-;;
ABDULAZIZ;406;30,9;;
ABDUL-AZIZ;9;-;;
ABDULBAKI;22;50;;
ABDULBAQI;8;-;;
ABDULBARI;20;34,3;;
ABDULBASET;44;34,5;;
ABDULBASHIR;2;-;;
ABDULBASID;8;-;;
ABDULBASIR;9;-;;
ABDULBASIT;18;31,2;;
ABDULBORIY;4;-;;
ABDULCADIR;2;-;;
ABDULCELIL;3;-;;
ABDULELAH;31;34,8;;
ABDULELLAH;4;-;;
ABDULETIF;3;-;;
ABDULFATAAH;3;-;;
ABDULFATAH;64;33,6;;
ABDULFATTAH;31;34,2;;
ABDUL-FATTAH;2;-;;
ABDULFAZL;3;-;;
ABDULFETA;2;-;;
ABDULFETAH;4;-;;
ABDULFITAH;3;-;;
ABDULGAADIR;2;-;;
ABDULGADER;6;-;;
ABDULGADIR;19;37,8;;
ABDULGAFUR;2;-;;
ABDULGANI;13;31,6;;
ABDULGHADER;2;-;;
ABDULGHAFAR;4;-;;
ABDULGHAFFAR;2;-;;
ABDULGHAFOUR;3;-;;
ABDULGHAFUR;2;-;;
ABDULGHANI;73;40,2;;
ABDULHABIB;2;-;;
ABDULHADE;3;-;;
ABDULHADI;133;28,7;;
ABDUL-HADI;3;-;;
ABDULHADY;5;-;;
ABDULHAFEEZ;2;-;;
ABDULHAFEZ;4;-;;
ABDULHAFID;3;-;;
ABDULHAFIID;3;-;;
ABDULHAFIZ;12;33,1;;
ABDULHAI;21;28,9;;
ABDULHAK;5;-;;
ABDULHAKAM;4;-;;
ABDULHAKEEM;13;38,3;;
ABDULHAKEM;6;-;;
ABDULHAKIM;110;34,6;;
ABDULHALEEM;4;-;;
ABDULHALEM;3;-;;
